width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
160,0.85,0,30,5545,True,23.2,1,22,22,1.2,0,
160,0.85,0,31,5242,True,22.8,1,21,21,1.8,0,
160,0.85,0,32,5530,True,23.0,1,21,22,1.0,0,
160,0.85,0,33,5091,True,25.1,1,24,24,1.1,1,
160,0.85,0,34,5085,True,25.3,1,24,24,1.3,1,
160,0.85,0,35,4948,True,24.2,1,23,23,1.2,1,
160,0.85,0,36,5002,True,23.7,1,22,22,1.7,1,
160,0.85,0,37,4863,True,23.7,1,22,22,1.7,1,
160,0.85,0,38,4849,True,23.5,1,22,22,1.5,1,
160,0.85,0,39,4841,True,25.0,1,24,24,1.0,1,
160,0.85,0,40,4724,True,24.2,1,23,23,1.2,1,
160,0.85,0,41,4960,True,23.5,1,22,22,1.5,1,
160,0.85,0,42,4943,True,24.1,1,23,23,1.1,1,
160,0.85,0,43,4936,True,26.4,1,25,25,1.4,1,
160,0.85,0,44,4859,True,25.2,1,24,24,1.2,1,
160,0.85,0,45,5002,True,25.7,1,24,24,1.7,1,
160,0.85,0,46,4862,True,24.8,1,23,23,1.8,1,
160,0.85,0,47,4937,True,22.8,1,21,21,1.8,0,
160,0.85,0,48,4958,True,26.0,1,25,25,1.0,2,
160,0.85,0,49,5017,True,22.7,1,21,21,1.7,0,
160,0.85,0,50,5129,True,23.7,1,22,22,1.7,0,
160,0.85,0,51,5232,True,25.7,1,24,24,1.7,0,
160,0.85,0,52,5423,True,23.6,1,22,22,1.6,0,
160,0.85,0,53,4952,True,22.6,1,21,21,1.6,0,
160,0.85,0,54,4780,True,22.7,1,21,21,1.7,0,
160,0.85,0,55,5607,True,23.2,1,22,22,1.2,0,
160,0.85,0,56,5882,True,22.5,1,21,21,1.5,0,
160,0.85,0,57,5929,True,24.0,1,23,23,1.0,0,
160,0.85,0,58,6212,True,23.6,1,22,22,1.6,1,
160,0.85,0,59,5967,True,22.4,1,21,21,1.4,0,
160,0.85,0,60,6350,True,22.3,1,21,21,1.3,0,
160,0.85,0,61,6188,True,22.9,1,21,22,0.9,0,
160,0.85,0,62,5633,True,23.6,1,22,22,1.6,0,
160,0.85,0,63,5365,True,22.5,1,21,21,1.5,0,
160,0.85,0,64,5445,True,23.1,1,22,22,1.1,0,
224,0.6,0,5,4514,True,22.5,1,21,21,1.5,0,
224,0.6,0,6,4793,True,23.1,1,22,22,1.1,0,
224,0.6,0,7,5342,True,25.1,1,24,24,1.1,0,
224,0.6,0,8,5425,True,23.2,2,22,22,1.2,0,
224,0.6,0,9,5124,True,22.5,1,21,21,1.5,0,
224,0.6,0,10,5514,True,22.5,1,21,21,1.5,0,
224,0.6,0,11,5694,True,23.3,1,22,22,1.3,0,
224,0.6,0,12,5110,True,25.6,1,24,24,1.6,0,
224,0.6,0,13,5501,True,23.0,1,22,22,1.0,0,
224,0.6,0,14,5293,True,22.9,1,21,21,1.9,0,
224,0.6,0,15,5550,True,22.5,1,21,21,1.5,0,
224,0.6,0,16,5624,True,23.1,1,22,22,1.1,0,
224,0.6,0,17,5044,True,25.2,1,24,24,1.2,0,
224,0.6,0,18,5514,True,22.7,1,21,21,1.7,0,
224,0.6,0,19,5140,True,22.6,1,21,21,1.6,0,
224,0.6,0,20,5555,True,22.7,1,21,21,1.7,0,
224,0.6,0,21,5356,True,22.7,1,21,21,1.7,0,
224,0.6,0,22,5115,True,25.4,1,24,24,1.4,0,
224,0.6,0,23,5502,True,22.6,1,21,21,1.6,0,
224,0.6,0,24,5147,True,22.5,1,21,21,1.5,0,
224,0.6,0,25,5485,True,22.9,1,22,22,0.9,0,
224,0.6,0,26,5421,True,22.5,1,21,21,1.5,0,
224,0.6,0,27,5032,True,24.0,2,22,22,2.0,0,
224,0.6,0,28,5314,True,22.7,1,21,21,1.7,0,
224,0.6,0,29,4950,True,22.6,1,21,21,1.6,0,
224,0.6,0,30,5080,True,22.4,1,21,21,1.4,0,
224,0.6,0,31,4759,True,23.8,1,22,22,1.8,0,
224,0.6,0,32,5370,True,23.6,1,22,22,1.6,0,
224,0.6,0,33,4545,True,25.4,1,24,24,1.4,1,
224,0.6,0,34,4511,True,24.6,1,23,23,1.6,1,
224,0.6,0,35,4344,True,25.1,1,24,24,1.1,1,
224,0.6,0,36,4367,True,25.5,1,24,24,1.5,1,
224,0.6,0,37,4187,True,25.1,1,24,24,1.1,1,
224,0.6,0,38,4282,True,24.3,1,23,23,1.3,1,
224,0.6,0,39,4293,True,23.6,1,22,22,1.6,1,
224,0.6,0,40,4194,True,23.6,1,22,22,1.6,1,
